N;radius;distance;ratio;density;contacts;loose;boundary;symmetry group;reference
1780;0.022188540114177525344435446060;0.045384086860197868223578801098;45.0683098056119021323114775874;0.876349736069268037218413016418;3467;26;113;;[31]
1781;0.022179414258781856592594407532;0.045364997592005443303651778829;45.0868534368103846072764930312;0.876120948432390216814786654856;3555;28;108;;[31]
1782;0.022166569282886679482960557259;0.045338129351193057984176316830;45.1129801476330795467425917276;0.875597806503513228790233248016;3869;26;118;;[31]
1783;0.022165751537532986805186678276;0.045336418871370289114665749950;45.1146444688199560674084265057;0.876024525001760761945722817147;3974;23;113;;[31]
1784;0.022159754529076937318148235559;0.045323875002516199982648618003;45.1268536701455471660541308216;0.876041621887479371441081573453;3681;40;109;;[31]
1785;0.022157460890906855951478092555;0.045319077468432482723628325128;45.1315249939304849636122658966;0.876351235540739314141498239408;3247;35;107;;[31]
1786;0.022156530264637329237326391677;0.045317130911829132496899049336;45.1334206238978805231143806765;0.876768534394872794916637982461;2989;47;105;;[31]
1787;0.022155529799264161099758996601;0.045315038279484231245577522471;45.1354586895598599625452859998;0.877180223726028960442467494467;3490;39;108;;[31]
1788;0.022155154948042731897885364890;0.045314254219677416145126347585;45.1362223529988756978419724064;0.877641392699946835259042869583;3214;46;99;;[31]
1789;0.022155501680804298064435314459;0.045314979465318062719459848294;45.1355159728298055792778495125;0.878159729708610395102307801838;2037;318;72;;[31]
1790;0.022132503249643748007106577618;0.045266875774467109160008433775;45.1824174030606468449782247446;0.876827383170929007637120299648;3494;31;108;;[31]
1791;0.022120892239549347125942540859;0.045242590958325829554626404045;45.2061331510004351356816033954;0.876396967391494363715110972010;3672;41;107;;[31]
1792;0.022102850089381256066156732360;0.045204856341797272824073038606;45.2430340863789414087100273377;0.875456479876000510696702770558;3732;33;108;;[31]
1793;0.022093423372489998246936227022;0.045185141199649595628108243927;45.2623381691570262660731481400;0.875198005874744578792806613800;3968;21;110;;[31]
1794;0.022084340454527477075448482081;0.045166145442015120494009538399;45.2809538079273506073923647779;0.874966259400793133589996816869;4623;44;106;;[31]
1795;0.022083417781540439846756530888;0.045164215809579476967173631935;45.2828457031638197855222884917;0.875380826940731384838431755949;3457;50;111;;[31]
1796;0.022076494977517720550487138419;0.045149737917405280156389026035;45.2970456142780290864799701546;0.875319448364287792865855188576;4544;38;110;;[31]
1797;0.022070784735765239127734298399;0.045137796051632943095440979468;45.3087650471947734375184826942;0.875353811317920713789505495367;4216;39;109;;[31]
